----------Twain-TomSawyer.txt---------- : total distinct words : 8233
(tom,3.321928094887362)
(huck,1.0254031245953878)
(time,0.8741916039177269)
(boys,0.7891351235365426)
(joe,0.6331982428377049)
(boy,0.5670432025412282)
(back,0.5623178425200513)
(began,0.5150642423082824)
(ill,0.47726136213886705)
(good,0.47253600211769026)
(long,0.4630852820753364)
(becky,0.4583599220541595)
(work,0.4252824019059212)
(project,0.4111063218423905)
(found,0.4111063218423905)
(made,0.4111063218423905)
(night,0.4016556018000367)
(thought,0.39693024177885977)
(presently,0.37802880169415215)
(aunt,0.36385272163062143)
----------ConanDoyle-SherlockAdventures.txt---------- : total distinct words : 8630
(holmes,3.321928094887362)
(man,2.1275269821188725)
(time,1.1122860362656561)
(door,1.0376359667176256)
(back,1.0227059528080193)
(room,0.9928459249888071)
(face,0.9555208902147919)
(matter,0.9181958554407765)
(heard,0.8435457858927459)
(hand,0.8360807789379429)
(house,0.8211507650283367)
(case,0.8211507650283367)
(found,0.8136857580735337)
(made,0.8062207511187306)
(good,0.7838257302543213)
(sherlock,0.7614307093899122)
(morning,0.739035688525503)
(project,0.6718506259322755)
(long,0.6569206120226694)
(asked,0.6569206120226694)
----------Carroll-AliceInWonderland.txt---------- : total distinct words : 3000
(alice,3.321928094887362)
(project,0.7592978502599684)
(thought,0.6385004649913372)
(queen,0.5867301570190666)
(time,0.5867301570190666)
(king,0.5263314643847509)
(i’m,0.49181792573657046)
(mock,0.49181792573657046)
(began,0.49181792573657046)
(turtle,0.4745611564124803)
(hatter,0.4745611564124803)
(gryphon,0.4745611564124803)
(work,0.4573043870883901)
(thing,0.4227908484402097)
(head,0.3969056944540744)
(voice,0.3969056944540744)
(looked,0.38827730979202935)
(rabbit,0.3796489251299842)
(round,0.34513538648180386)
(tone,0.34513538648180386)
----------BookAboutGoats.txt---------- : total distinct words : 2712
(mohair,3.321928094887362)
(goats,2.825548034731779)
(angora,2.558266463878773)
(goat,2.004611781397546)
(project,1.660964047443681)
(kids,1.4509570989163192)
(work,1.05003474263681)
(kid,0.9545770387607362)
(animal,0.9354854979855215)
(bucks,0.8209362533342331)
(animals,0.8018447125590185)
(states,0.7445700902333743)
(fleece,0.7254785494581596)
(years,0.6872954679077301)
(works,0.6682039271325154)
(bailey,0.6682039271325154)
(united,0.6682039271325154)
(importation,0.6682039271325154)
(skin,0.6682039271325154)
(asia,0.6491123863573007)
----------ConanDoyle-SherlockBaskervilleHound.txt---------- : total distinct words : 5798
(sir,3.321928094887362)
(man,1.9146559624711021)
(holmes,1.7710567652857696)
(moor,1.483858370915104)
(henry,1.368979013166838)
(baskerville,1.0626340591714616)
(watson,1.0530607793591062)
(dr,1.0530607793591062)
(project,0.8328753436749294)
(mortimer,0.8137287840502184)
(stapleton,0.8041555042378629)
(time,0.8041555042378629)
(face,0.7371425455513744)
(hound,0.7084227061143078)
(back,0.6988494263019522)
(charles,0.6701295868648858)
(long,0.6701295868648858)
(eyes,0.6605563070525302)
(hall,0.6509830272401748)
(night,0.6509830272401748)
----------ConanDoyle-SherlockReturn.txt---------- : total distinct words : 8600
(holmes,3.321928094887362)
(man,1.7180745591036357)
(watson,0.9613602796092365)
(room,0.9232866051692669)
(sir,0.8566576748993197)
(time,0.7852695353243765)
(door,0.7709919074093878)
(face,0.7662326981043917)
(back,0.7614734887993954)
(house,0.647252465479486)
(case,0.6186972096495087)
(hand,0.580623535209539)
(found,0.5711051165995464)
(night,0.5663459072945503)
(long,0.5520682793795616)
(young,0.5473090700745654)
(left,0.5425498607695692)
(eyes,0.5425498607695692)
(make,0.5282722328545805)
(friend,0.5139946049395918)
----------AllanPoe-WorksOfEdgarAllanPoe.txt---------- : total distinct words : 10244
(found,3.321928094887362)
(great,2.729482320002992)
(time,2.6660059869796666)
(made,2.285147988839714)
(project,1.9466075460486454)
(balloon,1.9466075460486454)
(body,1.8619724353508782)
(point,1.565749547908693)
(feet,1.5234319925598094)
(means,1.5022732148853677)
(mind,1.481114437210926)
(head,1.459955659536484)
(left,1.459955659536484)
(man,1.4176381041876005)
(day,1.4176381041876005)
(marie,1.3964793265131588)
(make,1.3964793265131588)
(long,1.3753205488387168)
(corpse,1.354161771164275)
(thought,1.2483678827920661)
----------AllanPoe-MasqueOfRedDeath.txt---------- : total distinct words : 1194
(project,3.321928094887362)
(work,1.7382181891852477)
(works,1.236066267865065)
(electronic,1.0429309135111486)
(foundation,0.8497955591572323)
(terms,0.8111684882864488)
(agreement,0.6952872756740991)
(donations,0.5794060630617492)
(license,0.5794060630617492)
(states,0.5794060630617492)
(copyright,0.5021519213201826)
(literary,0.5021519213201826)
(death,0.5021519213201826)
(full,0.5021519213201826)
(archive,0.5021519213201826)
(clock,0.4635248504493994)
(copy,0.4635248504493994)
(paragraph,0.42489777957861613)
(red,0.42489777957861613)
(united,0.3862707087078328)
----------Kafka-Metamorphosis.txt---------- : total distinct words : 2663
(gregor,3.321928094887362)
(room,2.1867968865841427)
(gregors,1.6526174944414516)
(sister,1.6025381764280742)
(father,1.6025381764280742)
(project,1.4689933283924015)
(door,1.4523002223879422)
(mother,1.3688346923656467)
(back,1.3688346923656467)
(work,1.251982950334433)
(time,0.9848932542630873)
(made,0.6677242401783643)
(chief,0.6343380281694461)
(head,0.6343380281694461)
(open,0.5842587101560688)
(samsa,0.5675656041516096)
(clerk,0.5675656041516096)
(works,0.5508724981471504)
(thought,0.5341793921426914)
(left,0.5174862861382323)
----------ConanDoyle-SherlockSign.txt---------- : total distinct words : 5736
(man,3.321928094887362)
(holmes,3.1720666770728947)
(project,2.1979674612788562)
(small,2.0481060434643887)
(work,1.9232215286189993)
(treasure,1.723406304866376)
(time,1.6984294018972979)
(sholto,1.648475595959142)
(great,1.5985217900209863)
(night,1.5735448870519084)
(back,1.5735448870519084)
(morstan,1.4486603722065188)
(hand,1.3487527603302072)
(found,1.2738220514229734)
(face,1.2238682454848175)
(made,1.1988913425157397)
(thought,1.1739144395466619)
(make,1.1739144395466619)
(long,1.1489375365775838)
(case,1.1489375365775838)
